અયોધાતુ,અ-યોધા-તુ
અભિલાખ,અ-ભિલાખ
ફેલ,ફેલ
નિરીક્ષા,નિ-રીક્-ષા
સ્વાદિયણ,સ્વા-દિ-યણ
આંખઆંગળી,આંખ-આંગ-ળી
આંત્રકૂજન,આં-ત્-રકૂ-જન
ઝામવું,ઝા-મ-વું
ચાલણગાડી,ચાલણ-ગા-ડી
દેશાઈવટું,દે-શાઈવટું
સતવારા,સ-ત-વા-રા
રભસ,ર-ભસ
હાડછેડ,હાડછેડ
અભરામકુલનદાવા,અ-ભ-રામકુલનદાવા
આભ્યાસિક,આભ્-યાસિક
કાર્બોહાઈડ્રેટ,કાર્બોહાઈડ્રેટ
પુરારિ,પુ-રારિ
મોટલી,મો-ટ-લી
હાથરૂમાલ,હાથરૂમાલ
તાર્ક્ષ્ય,તાર્ક્-ષ્-ય
સંધિકા,સં-ધિ-કા
સૂર્યવંશી,સૂર્-યવં-શી
મથિત,મથિત
કડીબધ્ધ,ક-ડીબધ્-ધ
આભીરી,આભીરી
આંધરણ,આં-ધરણ
ફંફેરો,ફં-ફે-રો
ટ્રેન,ટ્રેન
વૃક્ષવિજ્ઞાન,વૃક્-ષ-વિજ્-ઞાન
કંદુક,કંદુક
નધણિયું,ન-ધ-ણિ-યું
મંગડલેશ,મં-ગડલેશ
એકતંબે,એકતંબે
વિટંગા,વિ-ટંગા
કશમકશ,કશમકશ
ટુંકારવું,ટું-કાર-વું
સામનસૂમન,સા-મન-સૂમન
પાલોરું,પા-લોરું
જરિયાન,જરિ-યાન
થરથરાવું,થરથ-રા-વું
ધણિયામું,ધ-ણિ-યામું
ખરચુ,ખર-ચુ
ધોબીન,ધો-બીન
ટુવાવું,ટુ-વા-વું
વરણાવું,વર-ણા-વું
વૈશાખી,વૈ-શાખી
ઘનચક્કર,ઘનચક્કર
તુમારશાહી,તુ-માર-શા-હી
કાટવો,કાટ-વો
ગાંઠો,ગાંઠો
કારસ્તાની,કારસ્-તા-ની
ઇલસ્ટ્રેશન,ઇલસ્ટ્રેશન
આપઉઠાવ,આપઉ-ઠાવ
સર્વોપમાલાયક,સર્-વોપ-માલા-યક
ભોગૈશ્વર્ય,ભોગૈશ્-વર્-ય
મત્સ્યઉદ્યોગ,મત્સ્યઉદ્યોગ
ધીકડું,ધી-ક-ડું
યથાપૂર્વમ્,ય-થા-પૂર્-વમ્
ગરજનતેલ,ગરજન-તેલ
અસુઘડ,અ-સુ-ઘડ
આજાનુ,આજાનુ
ટીંબરવો,ટીં-બર-વો
સ્નેહાધીન,સ્નેહાધીન
ઉપરચોટિયું,ઉપર-ચોટિ-યું
નરાણી,ન-રા-ણી
મળિયાગરુ,મ-ળિ-યા-ગ-રુ
ખીખી,ખીખી
સ્પેસ,સ્પેસ
મહાકાંક્ષી,મહાકાંક્ષી
અખોઝર,અખોઝર
અડકાવવું,અડ-કાવ-વું
સત્યકામ,સત્-ય-કામ
રોલર,રોલર
નિર્લજ્જપણું,નિર્-લજ્જપ-ણું
લપસિંદર,લ-પસિંદર
ચરચાવું,ચર-ચા-વું
મેળવું,મે-ળ-વું
અચલવાદી,અ-ચ-લ-વા-દી
ભીમા,ભીમા
ઉર્વશી,ઉર્-વશી
દૂકૃત,દૂકૃત
કોરાડું,કોરાડું
વિટલાગી,વિટ-લાગી
અવેસ્તા,અ-વેસ્-તા
સોણલું,સોણલું
અવિનાભાવિત્વ,અ-વિ-ના-ભા-વિત્-વ
શંખાવળી,શં-ખાવ-ળી
માલવશ્રી,માલવશ્રી
ગ્રીવ,ગ્-રીવ
પ્રશ્નાવલી,પ્રશ્નાવ-લી
હઠીલું,હઠીલું
અંડવાહનળી,અંડવાહન-ળી
બ્રહ્માણી,બ્રહ્માણી
છાજ,છાજ
હારિયું,હા-રિ-યું
કર્મસંજોગ,કર્-મ-સં-જોગ
ઝરડાવવું,ઝર-ડાવ-વું
નકારાત્મક,ન-કા-રાત્-મક
પરલોકયાત્રા,પર-લોકયાત્રા
હંખારાવવું,હંખા-રાવ-વું
આસારિત,આસા-રિત
કર્તવ્યબુદ્ધિ,કર્-તવ્યબુદ્ધિ
ટાપસી,ટાપસી
પ્રદ્યુમ્ન,પ્રદ્યુમ્ન
જ્ઞાનમાર્ગ,જ્-ઞાન-માર્-ગ
અતિવસૂલી,અ-તિવ-સૂલી
ખદાખદી,ખદા-ખદી
મૌર્ય,મૌ-ર્-ય
પ્રયોજિત,પ્ર-યોજિત
હાંડવો,હાં-ડ-વો
અછોડાહાર,અ-છોડાહાર
અલિમાલા,અલિ-માલા
અંત્યયમક,અં-ત્-ય-યમક
પીળુંપચ,પી-ળુંપચ
આખાડિયો,આ-ખાડિ-યો
અય્યાર,અય્યાર
નિરપરાધી,નિ-ર-પ-રા-ધી
ઇંદુજા,ઇંદુજા
તર્પણ,તર્-પણ
બેઅદબ,બે-અદ-બ
પરિવેશ,પ-રિવેશ
કુશાંડિકા,કુશાંડિકા
આસ્ફાલન,આસ્ફાલન
ચંગોડી,ચંગોડી
વેખાવવું,વે-ખાવ-વું
નિદર્શન,નિ-દર્-શન
બાલ્યાવસ્થા,બાલ્-યા-વસ્થા
દોષગ્રાહી,દોષ-ગ્રા-હી
માધ્યમિકશાળા,માધ્-ય-મિક-શા-ળા
અવિશંક,અ-વિશંક
નશાખોર,ન-શાખોર
ટનનન,ટનનન
અનુવાદી,અ-નુ-વા-દી
અંકુશમુકત,અં-કુ-શ-મુક-ત
કુણિત,કુણિત
ઍક્ર્ચ્યુઅલ,ઍક્ર્ચ્યુઅ-લ
માસિકમાંદગી,મા-સિકમાંદ-ગી
ગોધિકા,ગો-ધિ-કા
ઢાંચલું,ઢાં-ચ-લું
શતતારકા,શત-તાર-કા
સ્કર્ટ,સ્-કર્ટ
મુરબ્બીગીરી,મુ-રબ્-બી-ગી-રી
સહસ્રરશ્મિ,સહસ્ર-રશ્મિ
ભાવશૂન્ય,ભાવ-શૂન્-ય
મસાત,મ-સાત
પપનસ,પપનસ
અટવામણ,અટ-વા-મણ
માંગલિક,માંગલિક
અબ્દ,અ-બ્-દ
ભૂંકાવવું,ભૂં-કાવ-વું
અઠ્ઠા,અઠ્ઠા
સંવા,સં-વા
ત્રેવડવું,ત્રે-વડ-વું
સાચકલાઈ,સા-ચક-લાઈ
અમાસા,અ-માસા
કામાર્ત,કા-માર્-ત
મરખ,મરખ
ચોકીબંધ,ચો-કીબંધ
કજાગરુ,ક-જાગ-રુ
એઠવાડ,એઠ-વાડ
મલપતું,મલ-પ-તું
ટૅપ,ટૅપ
યોગારૂઢ,યો-ગારૂઢ
અશ્વા,અ-શ્-વા
કટીસૂત્ર,ક-ટી-સૂત્-ર
દદામું,દદામું
ઓઝરિયું,ઓ-ઝરિ-યું
અંશભાગી,અંશભા-ગી
વળોટવું,વ-ળોટ-વું
અભિધાશક્તિ,અ-ભિધાશક્તિ
સાલસાઈ,સાલ-સાઈ
બજરિયું,બજરિ-યું
કંગવો,કં-ગ-વો
રાસમંડળી,રાસ-મંડ-ળી
જાદૂગીર,જાદૂગીર
પસલી,પસલી
ઊંદરકાની,ઊંદર-કા-ની
દુમ,દુમ
દોરવવું,દોર-વ-વું
અયોમુખ,અ-યોમુખ
ખરપી,ખર-પી
અંગૂઠાપકડ,અં-ગૂઠાપકડ
કુવાલી,કુ-વા-લી
કર્ણકંડૂ,કર્-ણકં-ડૂ
કેંદ્રાનુસારી,કેંદ્રાનુસા-રી
શકુનિચતુષ્ટય,શકુનિચ-તુષ્-ટ-ય
ઉધારનોંધ,ઉ-ધારનોંધ
સંક્રીડાવવું,સંક્રીડાવ-વું
અટ્ઠાશિયો,અટ્ઠાશિયો
ઠસકાવવું,ઠસ-કાવ-વું
મરજાદણ,મર-જાદણ
બાતી,બાતી
ચડાઉ,ચ-ડાઉ
અગ્નિશામક,અગ્-નિ-શા-મક
આચારાનાચાર,આ-ચારાનાચાર
નિકાસાવું,નિ-કાસા-વું
ભલભલું,ભ-લભ-લું
આતંકવાદ,આતંક-વાદ
ગોરડું,ગોર-ડું
આંતરડી,આં-તર-ડી
અસ્તરો,અ-સ્-ત-રો
થાપણહાર,થા-પણહાર
ગુલઝાર,ગુલઝાર
આરાવલ્લા,આ-રાવલ્-લા
અંગાઉ,અં-ગા-ઉ
પંચાક્ષર,પં-ચા-ક્-ષર
ઝીંથરિયાં,ઝીંથરિયાં
અષ્ટાંગિક,અષ્ટાંગિક
સર્પવું,સર્-પ-વું
દ્રુપદતનયા,દ્રુપદતનયા
પરિવેષ્ટિત,પ-રિ-વેષ્-ટિત
યજવું,યજ-વું
ગર્ભનિરોધ,ગર્-ભનિ-રોધ
ડસડસવું,ડ-સડ-સ-વું
લગેજપાર્સલ,લગેજપાર્સલ
ગળેચી,ગળેચી
અશંકી,અશંકી
ગભૂડું,ગ-ભૂડું
અનવિરત,અ-નવિ-રત
ઊકલવું,ઊ-કલ-વું
ઉરાઉર,ઉરા-ઉર
ગજઘંટ,ગજઘંટ
ધર્મપુત્ર,ધર્-મ-પુત્-ર
રાજ્યારોહણ,રાજ્યા-રોહણ
વાઇવા,વા-ઇવા
ઘચરકો,ઘ-ચર-કો
જાતિવાચક,જા-તિ-વા-ચક
લાગલું,લાગ-લું
ગુરુતર,ગુ-રુતર
કસબી,કસબી
દિલ્લી,દિ-લ્-લી
ગૂડલું,ગૂડલું
બગલી,બ-ગ-લી
હવડે,હ-વ-ડે
બૂંગિયો,બૂં-ગિ-યો
આકડઆસુ,આકડઆસુ
લુટાવું,લુ-ટા-વું
કામાળ,કામાળ
અંબાડાં,અંબાડાં
આંકોસિયાં,આંકોસિયાં
બકભક્ત,બકભક્ત
લિંગી,લિંગી
હવાઈદળ,હ-વાઈદળ
ન્યાયપરાયણતા,ન્યાય-પ-રા-યણતા
વિવેચનકાર,વિ-વે-ચન-કાર
ઠાકરિયો,ઠાક-રિ-યો
ભક્ષાવવું,ભક્-ષાવ-વું
બૂકડી,બૂક-ડી
નિર્માતા,નિર્-મા-તા
ફુલસ્ટૉપ,ફુલસ્ટૉપ
અવિનાશિતા,અ-વિ-નાશિતા
અકર્મઠ,અકર્-મઠ
ઉપપ્લવ,ઉપપ્-લવ
વારયોષિતા,વાર-યોષિ-તા
ઋણાનુબંધ,ઋણા-નુ-બંધ
વરધારો,વર-ધા-રો
શુક્લ,શુક્લ
ચરેડાવવું,ચરે-ડાવ-વું
કમલાસન,કમ-લાસન
માશીજી,મા-શીજી
સધુર,સધુર
ગહેકાટ,ગહેકાટ
તેગાર,તેગાર
સંગોપન,સંગોપન
ધકેલાવવું,ધ-કેલાવ-વું
રાષ્ટ્રભાવના,રાષ્-ટ્ર-ભાવ-ના
અપત્નીક,અપત્-નીક
અનૂઢા,અનૂઢા
તલો,તલો
આરાસુરા,આ-રાસુરા
સંસારશાસ્ત્રી,સં-સાર-શાસ્-ત્રી
અબહુશ્રુત,અ-બ-હુશ્-રુત
સજાગરું,સ-જાગ-રું
કાવાદાવા,કા-વા-દાવા
આપનિષ્ઠ,આપનિષ્ઠ
ભીનિયું,ભીનિયું
ઝપાટાબંઘ,ઝ-પા-ટા-બંઘ
આંબારોટલી,આંબા-રોટ-લી
લોચાવવું,લો-ચાવ-વું
સ્ફુરણ,સ્ફુરણ
આજદિન,આજદિન
ઉત્કંઠિતા,ઉત્કંઠિતા
શકરખોરો,શકર-ખોરો
કૂટણાં,કૂટણાં
ચૈતરી,ચૈ-ત-રી
સુસવાળ,સુસ-વાળ
નજૂમ,નજૂમ
રોઢો,રોઢો
બૅન્ડ,બૅન્ડ
પાવનકારી,પાવન-કા-રી
બળદિયો,બળદિયો
જળજાત,જળજાત
તાપડિયું,તાપડિ-યું
હણહણાટી,હણ-હણા-ટી
ક્ષેપણ,ક્ષેપણ
આરાધનીય,આ-રાધની-ય
વૉલન્ટરી,વૉલન્ટરી
અસંયમિત,અ-સં-ય-મિત
દેય,દેય
નોકું,નોકું
મદ,મ-દ
